Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,Home City,Home State
basketball,pro,NBA,2023-11-24,Friday,,Los Angeles Clippers,New Orleans Pelicans,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-25,Saturday,,Oklahoma City Thunder,Philadelphia 76ers,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-25,Saturday,,Brooklyn Nets,Miami Heat,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-25,Saturday,,Washington Wizards,Atlanta Hawks,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-11-25,Saturday,,Cleveland Cavaliers,Los Angeles Lakers,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-25,Saturday,,Utah Jazz,New Orleans Pelicans,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-25,Saturday,,Los Angeles Clippers,Dallas Mavericks,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-26,Sunday,,Milwaukee Bucks,Portland Trail Blazers,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-11-26,Sunday,,Boston Celtics,Atlanta Hawks,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-26,Sunday,,Memphis Grizzlies,Minnesota Timberwolves,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-26,Sunday,,New York Knicks,Phoenix Suns,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-26,Sunday,,Orlando Magic,Charlotte Hornets,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-26,Sunday,,Brooklyn Nets,Chicago Bulls,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-26,Sunday,,Cleveland Cavaliers,Toronto Raptors,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-26,Sunday,,Denver Nuggets,San Antonio Spurs,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-27,Monday,,Detroit Pistons,Washington Wizards,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-27,Monday,,Indiana Pacers,Portland Trail Blazers,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-11-27,Monday,,Philadelphia 76ers,Los Angeles Lakers,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-11-27,Monday,,Utah Jazz,New Orleans Pelicans,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-11-27,Monday,,Los Angeles Clippers,Denver Nuggets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-11-28,Tuesday,,Boston Celtics,Chicago Bulls,TD Garden,Boston,MA
basketball,pro,NBA,2023-11-28,Tuesday,,Brooklyn Nets,Toronto Raptors,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-28,Tuesday,,Cleveland Cavaliers,Atlanta Hawks,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-28,Tuesday,,Miami Heat,Milwaukee Bucks,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-28,Tuesday,,New York Knicks,Charlotte Hornets,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-28,Tuesday,,Minnesota Timberwolves,Oklahoma City Thunder,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-28,Tuesday,,Dallas Mavericks,Houston Rockets,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-11-28,Tuesday,,Sacramento Kings,Golden State Warriors,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-11-29,Wednesday,,Detroit Pistons,Los Angeles Lakers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-11-29,Wednesday,,Orlando Magic,Washington Wizards,Amway Center,Orlando,FL
basketball,pro,NBA,2023-11-29,Wednesday,,Toronto Raptors,Phoenix Suns,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-11-29,Wednesday,,Memphis Grizzlies,Utah Jazz,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-11-29,Wednesday,,New Orleans Pelicans,Philadelphia 76ers,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-11-29,Wednesday,,Denver Nuggets,Houston Rockets,Ball Arena,Denver,CO
basketball,pro,NBA,2023-11-29,Wednesday,,Sacramento Kings,Los Angeles Clippers,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-11-30,Thursday,,Cleveland Cavaliers,Portland Trail Blazers,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-11-30,Thursday,,Brooklyn Nets,Charlotte Hornets,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-11-30,Thursday,,Miami Heat,Indiana Pacers,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-11-30,Thursday,,New York Knicks,Detroit Pistons,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-11-30,Thursday,,Chicago Bulls,Milwaukee Bucks,United Center,Chicago,IL
basketball,pro,NBA,2023-11-30,Thursday,,Minnesota Timberwolves,Utah Jazz,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-11-30,Thursday,,Oklahoma City Thunder,Los Angeles Lakers,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-11-30,Thursday,,San Antonio Spurs,Atlanta Hawks,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-11-30,Thursday,,Golden State Warriors,Los Angeles Clippers,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-01,Friday,,Orlando Magic,Washington Wizards,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-01,Friday,,Boston Celtics,Philadelphia 76ers,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-01,Friday,,Dallas Mavericks,Memphis Grizzlies,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-01,Friday,,Toronto Raptors,New York Knicks,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-01,Friday,,New Orleans Pelicans,San Antonio Spurs,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-01,Friday,,Phoenix Suns,Denver Nuggets,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-02,Saturday,,Los Angeles Clippers,Golden State Warriors,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-02,Saturday,,Charlotte Hornets,Minnesota Timberwolves,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-02,Saturday,,Brooklyn Nets,Orlando Magic,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-02,Saturday,,Detroit Pistons,Cleveland Cavaliers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-02,Saturday,,Chicago Bulls,New Orleans Pelicans,United Center,Chicago,IL
basketball,pro,NBA,2023-12-02,Saturday,,Miami Heat,Indiana Pacers,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-02,Saturday,,Milwaukee Bucks,Atlanta Hawks,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-02,Saturday,,Dallas Mavericks,Oklahoma City Thunder,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-02,Saturday,,Phoenix Suns,Memphis Grizzlies,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-02,Saturday,,Utah Jazz,Portland Trail Blazers,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-12-02,Saturday,,Sacramento Kings,Denver Nuggets,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-02,Saturday,,Los Angeles Lakers,Houston Rockets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-04,Monday,,Indiana Pacers,Boston Celtics,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-12-04,Monday,,Sacramento Kings,New Orleans Pelicans,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-05,Tuesday,,Milwaukee Bucks,New York Knicks,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-05,Tuesday,,Los Angeles Lakers,Phoenix Suns,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-06,Wednesday,,Cleveland Cavaliers,Orlando Magic,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-06,Wednesday,,Detroit Pistons,Memphis Grizzlies,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-06,Wednesday,,Washington Wizards,Philadelphia 76ers,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-06,Wednesday,,Atlanta Hawks,Brooklyn Nets,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-12-06,Wednesday,,Minnesota Timberwolves,San Antonio Spurs,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-12-06,Wednesday,,Toronto Raptors,Miami Heat,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-06,Wednesday,,Chicago Bulls,Charlotte Hornets,United Center,Chicago,IL
basketball,pro,NBA,2023-12-06,Wednesday,,Houston Rockets,Oklahoma City Thunder,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-06,Wednesday,,Dallas Mavericks,Utah Jazz,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-06,Wednesday,,Golden State Warriors,Portland Trail Blazers,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-06,Wednesday,,Los Angeles Clippers,Denver Nuggets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-08,Friday,,Charlotte Hornets,Toronto Raptors,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-08,Friday,,Orlando Magic,Detroit Pistons,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-08,Friday,,Philadelphia 76ers,Atlanta Hawks,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-08,Friday,,Brooklyn Nets,Washington Wizards,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-08,Friday,,Memphis Grizzlies,Minnesota Timberwolves,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-12-08,Friday,,Miami Heat,Cleveland Cavaliers,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-08,Friday,,Oklahoma City Thunder,Golden State Warriors,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-08,Friday,,San Antonio Spurs,Chicago Bulls,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-12-08,Friday,,Denver Nuggets,Houston Rockets,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-08,Friday,,Portland Trail Blazers,Dallas Mavericks,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-08,Friday,,Utah Jazz,Los Angeles Clippers,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-12-11,Monday,,Charlotte Hornets,Miami Heat,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-11,Monday,,Detroit Pistons,Indiana Pacers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-11,Monday,,Orlando Magic,Cleveland Cavaliers,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-11,Monday,,Philadelphia 76ers,Washington Wizards,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-11,Monday,,Atlanta Hawks,Denver Nuggets,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-12-11,Monday,,New York Knicks,Toronto Raptors,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-12-11,Monday,,Houston Rockets,San Antonio Spurs,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-11,Monday,,Memphis Grizzlies,Dallas Mavericks,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-12-11,Monday,,Milwaukee Bucks,Chicago Bulls,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-11,Monday,,New Orleans Pelicans,Minnesota Timberwolves,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-11,Monday,,Oklahoma City Thunder,Utah Jazz,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-11,Monday,,Sacramento Kings,Brooklyn Nets,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-11,Monday,,Los Angeles Clippers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-12,Tuesday,,Boston Celtics,Cleveland Cavaliers,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-12,Tuesday,,Dallas Mavericks,Los Angeles Lakers,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-12,Tuesday,,Chicago Bulls,Denver Nuggets,United Center,Chicago,IL
basketball,pro,NBA,2023-12-12,Tuesday,,Phoenix Suns,Golden State Warriors,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-12,Tuesday,,Los Angeles Clippers,Sacramento Kings,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-13,Wednesday,,Detroit Pistons,Philadelphia 76ers,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-13,Wednesday,,Washington Wizards,New Orleans Pelicans,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-13,Wednesday,,Miami Heat,Charlotte Hornets,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-13,Wednesday,,Toronto Raptors,Atlanta Hawks,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-13,Wednesday,,Houston Rockets,Memphis Grizzlies,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-13,Wednesday,,Milwaukee Bucks,Indiana Pacers,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-13,Wednesday,,San Antonio Spurs,Los Angeles Lakers,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-12-13,Wednesday,,Phoenix Suns,Brooklyn Nets,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-13,Wednesday,,Utah Jazz,New York Knicks,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-12-14,Thursday,,Boston Celtics,Cleveland Cavaliers,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-14,Thursday,,Miami Heat,Chicago Bulls,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-14,Thursday,,Dallas Mavericks,Minnesota Timberwolves,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-14,Thursday,,Denver Nuggets,Brooklyn Nets,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-14,Thursday,,Portland Trail Blazers,Utah Jazz,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-14,Thursday,,Sacramento Kings,Oklahoma City Thunder,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-14,Thursday,,Los Angeles Clippers,Golden State Warriors,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-15,Friday,,Charlotte Hornets,New Orleans Pelicans,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-15,Friday,,Philadelphia 76ers,Detroit Pistons,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-15,Friday,,Washington Wizards,Indiana Pacers,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-15,Friday,,Boston Celtics,Orlando Magic,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-15,Friday,,San Antonio Spurs,Los Angeles Lakers,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-12-15,Friday,,Toronto Raptors,Atlanta Hawks,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-15,Friday,,Memphis Grizzlies,Houston Rockets,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-12-15,Friday,,Phoenix Suns,New York Knicks,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-16,Saturday,,Milwaukee Bucks,Detroit Pistons,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-16,Saturday,,Charlotte Hornets,Philadelphia 76ers,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-16,Saturday,,Cleveland Cavaliers,Atlanta Hawks,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-16,Saturday,,Miami Heat,Chicago Bulls,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-16,Saturday,,Minnesota Timberwolves,Indiana Pacers,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-12-16,Saturday,,Golden State Warriors,Brooklyn Nets,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-16,Saturday,,Denver Nuggets,Oklahoma City Thunder,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-16,Saturday,,Portland Trail Blazers,Dallas Mavericks,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-16,Saturday,,Sacramento Kings,Utah Jazz,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-16,Saturday,,Los Angeles Clippers,New York Knicks,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-17,Sunday,,Boston Celtics,Orlando Magic,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-17,Sunday,,San Antonio Spurs,New Orleans Pelicans,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-12-17,Sunday,,Milwaukee Bucks,Houston Rockets,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-17,Sunday,,Phoenix Suns,Washington Wizards,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-17,Sunday,,Portland Trail Blazers,Golden State Warriors,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-18,Monday,,Cleveland Cavaliers,Houston Rockets,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-18,Monday,,Indiana Pacers,Los Angeles Clippers,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-12-18,Monday,,Philadelphia 76ers,Chicago Bulls,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-18,Monday,,Atlanta Hawks,Detroit Pistons,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-12-18,Monday,,Miami Heat,Minnesota Timberwolves,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-18,Monday,,Toronto Raptors,Charlotte Hornets,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-18,Monday,,Oklahoma City Thunder,Memphis Grizzlies,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-18,Monday,,Denver Nuggets,Dallas Mavericks,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-18,Monday,,Utah Jazz,Brooklyn Nets,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-12-18,Monday,,Sacramento Kings,Washington Wizards,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-18,Monday,,Los Angeles Lakers,New York Knicks,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-19,Tuesday,,New Orleans Pelicans,Memphis Grizzlies,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-19,Tuesday,,Milwaukee Bucks,San Antonio Spurs,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-19,Tuesday,,Golden State Warriors,Boston Celtics,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-19,Tuesday,,Portland Trail Blazers,Phoenix Suns,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-20,Wednesday,,Cleveland Cavaliers,Utah Jazz,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-20,Wednesday,,Indiana Pacers,Charlotte Hornets,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-12-20,Wednesday,,Orlando Magic,Miami Heat,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-20,Wednesday,,Philadelphia 76ers,Minnesota Timberwolves,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-20,Wednesday,,Brooklyn Nets,New York Knicks,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-20,Wednesday,,Toronto Raptors,Denver Nuggets,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-20,Wednesday,,Chicago Bulls,Los Angeles Lakers,United Center,Chicago,IL
basketball,pro,NBA,2023-12-20,Wednesday,,Houston Rockets,Atlanta Hawks,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-20,Wednesday,,Dallas Mavericks,Los Angeles Clippers,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-20,Wednesday,,Sacramento Kings,Boston Celtics,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-21,Thursday,,Detroit Pistons,Utah Jazz,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-21,Thursday,,Cleveland Cavaliers,New Orleans Pelicans,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-21,Thursday,,Chicago Bulls,San Antonio Spurs,United Center,Chicago,IL
basketball,pro,NBA,2023-12-21,Thursday,,Memphis Grizzlies,Indiana Pacers,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-12-21,Thursday,,Milwaukee Bucks,Orlando Magic,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-12-21,Thursday,,Oklahoma City Thunder,Los Angeles Clippers,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-21,Thursday,,Minnesota Timberwolves,Los Angeles Lakers,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-12-21,Thursday,,Portland Trail Blazers,Washington Wizards,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-22,Friday,,Philadelphia 76ers,Toronto Raptors,Wells Fargo Center,Philadelphia,PA
basketball,pro,NBA,2023-12-22,Friday,,Brooklyn Nets,Denver Nuggets,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-22,Friday,,Houston Rockets,Dallas Mavericks,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-22,Friday,,Miami Heat,Atlanta Hawks,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-22,Friday,,Golden State Warriors,Washington Wizards,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-22,Friday,,Sacramento Kings,Phoenix Suns,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-23,Saturday,,New York Knicks,Milwaukee Bucks,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-12-23,Saturday,,Los Angeles Clippers,Boston Celtics,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-23,Saturday,,Charlotte Hornets,Denver Nuggets,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-12-23,Saturday,,Indiana Pacers,Orlando Magic,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-12-23,Saturday,,New Orleans Pelicans,Houston Rockets,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-23,Saturday,,Atlanta Hawks,Memphis Grizzlies,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-12-23,Saturday,,Brooklyn Nets,Detroit Pistons,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-23,Saturday,,Toronto Raptors,Utah Jazz,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-12-23,Saturday,,Chicago Bulls,Cleveland Cavaliers,United Center,Chicago,IL
basketball,pro,NBA,2023-12-23,Saturday,,Oklahoma City Thunder,Los Angeles Lakers,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-23,Saturday,,Dallas Mavericks,San Antonio Spurs,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-23,Saturday,,Golden State Warriors,Portland Trail Blazers,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-23,Saturday,,Sacramento Kings,Minnesota Timberwolves,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-12-25,Monday,,New York Knicks,Milwaukee Bucks,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-12-25,Monday,,Denver Nuggets,Golden State Warriors,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-25,Monday,,Los Angeles Lakers,Boston Celtics,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-25,Monday,,Miami Heat,Philadelphia 76ers,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-12-25,Monday,,Phoenix Suns,Dallas Mavericks,Footprint Center,Phoenix,AZ
basketball,pro,NBA,2023-12-26,Tuesday,,Detroit Pistons,Brooklyn Nets,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-12-26,Tuesday,,Washington Wizards,Orlando Magic,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-26,Tuesday,,Chicago Bulls,Atlanta Hawks,United Center,Chicago,IL
basketball,pro,NBA,2023-12-26,Tuesday,,Houston Rockets,Indiana Pacers,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-26,Tuesday,,New Orleans Pelicans,Memphis Grizzlies,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-26,Tuesday,,Oklahoma City Thunder,Minnesota Timberwolves,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-26,Tuesday,,San Antonio Spurs,Utah Jazz,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-12-26,Tuesday,,Portland Trail Blazers,Sacramento Kings,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-26,Tuesday,,Los Angeles Clippers,Charlotte Hornets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-27,Wednesday,,Orlando Magic,Philadelphia 76ers,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-27,Wednesday,,Washington Wizards,Toronto Raptors,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-27,Wednesday,,Brooklyn Nets,Milwaukee Bucks,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-12-27,Wednesday,,Houston Rockets,Phoenix Suns,Toyota Center,Houston,TX
basketball,pro,NBA,2023-12-27,Wednesday,,Oklahoma City Thunder,New York Knicks,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2023-12-27,Wednesday,,Dallas Mavericks,Cleveland Cavaliers,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-12-28,Thursday,,Boston Celtics,Detroit Pistons,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-28,Thursday,,Chicago Bulls,Indiana Pacers,United Center,Chicago,IL
basketball,pro,NBA,2023-12-28,Thursday,,Minnesota Timberwolves,Dallas Mavericks,Target Center,Minneapolis,MN
basketball,pro,NBA,2023-12-28,Thursday,,New Orleans Pelicans,Utah Jazz,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2023-12-28,Thursday,,Denver Nuggets,Memphis Grizzlies,Ball Arena,Denver,CO
basketball,pro,NBA,2023-12-28,Thursday,,Golden State Warriors,Miami Heat,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-12-28,Thursday,,Portland Trail Blazers,San Antonio Spurs,Moda Center,Portland,OR
basketball,pro,NBA,2023-12-28,Thursday,,Los Angeles Lakers,Charlotte Hornets,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-12-29,Friday,,Orlando Magic,New York Knicks,Amway Center,Orlando,FL
basketball,pro,NBA,2023-12-29,Friday,,Washington Wizards,Brooklyn Nets,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-12-29,Friday,,Atlanta Hawks,Sacramento Kings,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-12-29,Friday,,Boston Celtics,Toronto Raptors,TD Garden,Boston,MA
basketball,pro,NBA,2023-12-29,Friday,,Cleveland Cavaliers,Milwaukee Bucks,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-12-29,Friday,,Houston Rockets,Philadelphia 76ers,Toyota Center,Houston,TX
